title,company,experience,salary,location,description,skills,posted,salary_disclosed,min_experience,max_experience,work_mode,location_list,skills_list,min_salary,max_salary,salary_in_lacs
Data Analyst,Lubi Electronics,1-6,,Ahmedabad,BCA / MCA / B Sc IT / M Sc IT / B E / B Tech (Computer / IT) or any graduate with relev...,"Erp, Automation, Data Analysis, SAP, Plsql, Data Quality, Stored Procedures, SQL",1 week ago,False,1,6,On-site,['Ahmedabad'],"['Erp', 'Automation', 'Data Analysis', 'SAP', 'Plsql', 'Data Quality', 'Stored Procedures', 'SQL']",,,False
Data Analyst - (Immediate Joiners preferred),Capita,1-5,,"Pune, Mumbai (All Areas)",Shift Timings: 1pm - 10pm (UK Shift). Preferred candidate profile : .,"Power BI, Advanced Excel, Machine Learning, Python, R, Data Visualization, Tableau, Data Analysis",3+ weeks ago,False,1,5,On-site,"['Pune', 'Mumbai (All Areas)']","['Power BI', 'Advanced Excel', 'Machine Learning', 'Python', 'R', 'Data Visualization', 'Tableau', 'Data Analysis']",,,False
Data Analyst,Inito,1-3,,Bengaluru,"Analyze complex data sets to identify trends and patterns, providing insights to stake...","Database Maintenance, Python, Macros, Data Analysis, Data Analysis, Data Mining, Predictive Analytics, Power BI",3 weeks ago,False,1,3,On-site,['Bengaluru'],"['Database Maintenance', 'Python', 'Macros', 'Data Analysis', 'Data Analysis', 'Data Mining', 'Predictive Analytics', 'Power BI']",,,False
Data Analyst,Avinyatech Elevators Pvt. Ltd.,1-2,3-4.5 Lacs PA,Thane,"Key Responsibilities: 1. Collect, verify, and consolidate data from various departments...","Big Data, Big Data Analytics, Data Visualization, Data Mining, Data Analysis, SQL, Data Analysis",4 days ago,True,1,2,On-site,['Thane'],"['Big Data', 'Big Data Analytics', 'Data Visualization', 'Data Mining', 'Data Analysis', 'SQL', 'Data Analysis']",3.0,4.5,True
Data Analyst,Alpha5 Ai,1-4,,Remote,"Requirements . Proficiency in SQL, Excel, and visualization tools (e.g., Tableau, Power...","Storytelling, Tableau, Data Analysis, Power BI, Visualization Tools, SQL, Statistics",1 week ago,False,1,4,Remote,['Remote'],"['Storytelling', 'Tableau', 'Data Analysis', 'Power BI', 'Visualization Tools', 'SQL', 'Statistics']",,,False
Data Analyst,Adroit Synergies,0-1,2.5-3 Lacs PA,Gurugram,Data Analyst JD:- Location:- Gurugram • Salary – up to 25K CTC • Cab facility from IfCO...,"SQL, Power BI, Data Analysis, Advanced Excel, Business Intelligence, Excel",3 days ago,True,0,1,On-site,['Gurugram'],"['SQL', 'Power BI', 'Data Analysis', 'Advanced Excel', 'Business Intelligence', 'Excel']",2.5,3.0,True
DATA Analysts - MNC BULK HIRE-Complete WFH Available-MAX 35 LPA,Confidential Firm,7-12,25-30 Lacs PA,Remote,Shift : 2PM to 11PM PF Mandatory Must Haves: ATLEAST 7+ YEARS OF EXPERIENCE,"Azure, Power BI, Data Analysis, SQL, Advanced Analytics, Microsoft Azure, Data Analysis, Bulk",2 weeks ago,True,7,12,Remote,['Remote'],"['Azure', 'Power BI', 'Data Analysis', 'SQL', 'Advanced Analytics', 'Microsoft Azure', 'Data Analysis', 'Bulk']",25.0,30.0,True
Data Analyst - MDM,Crescendo Global,4-6,,Bengaluru,Requirement  Senior Analyst Shift Timings - 12.00pm to 9.30pm or 2.00 PM to 11.30 PMLo...,"Metadata Management, Reconciliation, Data Analysis, Master Data Management Operations, SQL, Mdm, Master Data Management",2 weeks ago,False,4,6,On-site,['Bengaluru'],"['Metadata Management', 'Reconciliation', 'Data Analysis', 'Master Data Management Operations', 'SQL', 'Mdm', 'Master Data Management']",,,False
Data Analyst,The Art Of Living Human Resources,2-4,,Bengaluru,Experience with data visualization tools and reporting software,"Database Maintenance, Python, Data Analysis, Data Analysis, Oracle, Spotfire, Problem Solving, Dashboards",3+ weeks ago,False,2,4,On-site,['Bengaluru'],"['Database Maintenance', 'Python', 'Data Analysis', 'Data Analysis', 'Oracle', 'Spotfire', 'Problem Solving', 'Dashboards']",,,False
Data Analyst,SKP Knowledge Services,1-2,,Erode,Analyze complex data sets to identify trends and patterns. Develop and maintain databa...,"Database Maintenance, Data Analysis, Data Analysis, Pivot Table, Business Analysis, Problem Solving, Process Improvement, Vlookup",3 weeks ago,False,1,2,On-site,['Erode'],"['Database Maintenance', 'Data Analysis', 'Data Analysis', 'Pivot Table', 'Business Analysis', 'Problem Solving', 'Process Improvement', 'Vlookup']",,,False
