title,company,experience,salary,location,description,skills,posted
Data Analyst,Freedom From Diabetes,3-8 Yrs,,Pune,Required Skills Preferred  Strong experience with Looker Studio (Data Studio) . . Hands...,"Computer science, Automation, Data modeling, Analytical, Data processing, Data analytics, Data quality, Business intelligence",3+ weeks ago
Data Analyst,Treezec E Solutions,8-10 Yrs,,Mumbai,"We are looking for a detail-oriented and analytical Data Analyst to collect, process, a...","Computer science, MIS reporting, Data analysis, Statistical analysis, VLOOKUP, Analytical, power bi, data visualization",2 days ago
Salesforce Data Analyst,Luxoft,3-7 Yrs,,Pune,"Education / Qualifications: . Bachelors degree or above in Data Analytics, Information ...","data analyst, data analytics, data analysis, sla, sla tracking, data migration, subject matter expert, financial services",3+ weeks ago
IRR Liquidity PBR Data Analyst,Krazy Mantra Hr Solutions,6-10 Yrs,,Pune,Interrogate databases via SQL queries to extract relevant data. Develop and maintain f...,"python, sql queries, data analysis, data analytics, sas, data mining, predictive analytics, machine learning",3+ weeks ago
Data Analyst,Nineleaps,2-4 Yrs,,Bengaluru,Collaborate effectively with remote teams across time zones . What We re Looking For . ...,"Automation, Product engineering, Analytical, Data Analyst, Data analytics, Business intelligence, Analytics, SQL",3+ weeks ago
Data Analyst,Mobily Infotech (MIT),4-5 Yrs,,Bengaluru(Whitefield),". Bachelors degree in Engineering, Statistics, Mathematics, Economics, Computer Science...","Data Analyst, Power Bi, Tableau, SQL, Data, Data analysis, Bi",1 week ago
Data Analyst,Viaprom Technologies,3-8 Yrs,,Bengaluru,Role Overview:We at VIAPROM are looking for a Data Analyst with 3 to 4 years of experie...,"data analyst, retail banking, python, casa, data analysis, business metrics, customer acquisition, retail",1 week ago
Data Analyst,iprom group,3-8 Yrs,,Bengaluru,Role Overview: . We at VIAPROM are looking for a Data Analyst with 3 to 4 years of expe...,"Data Analysis, retail banking, python, casa, business metrics, data analyst, customer acquisition, retail",2 weeks ago
Data Analyst,JCPenney,2-7 Yrs,,Bengaluru,Job Tittle: Data Analyst. 2+ years of experience in Retail and Merchandising reporting....,"Microstrategy, Supply chain, Automation, Machine learning, Strategic planning, Merchandising, Reporting tools, SQL",2 weeks ago
Data Analyst,Aeries Technology,3-7 Yrs,,Bengaluru,The ideal candidate is a strong SQL practitioner who brings genuine curiosity about the...,"Automation, Consulting, Workflow, Data Analyst, Business intelligence, Operations, Analytics, CRM",2 weeks ago
Walk-in || Data Analyst/AI-ML,Codepanda Academy,,4.5-9.5 Lacs PA,,"Any Graduate, Candidate with gap years can also applyPreferred candidate profile","Data Science, Artificial Intelligence, Data Analysis, Aiml, Data Analytics, Machine Learning, Intelligence, Analytics",3 weeks ago
Data Analyst,Snapdeal,1-6 Yrs,,Gurugram,"Providing technical expertise in data storage structures, data mining, and data cleansi...","master data, python, metadata, data analysis, data analytics, data management, configuration, data mining",3+ weeks ago
Data Analyst,SSD Shared Services,2-4 Yrs,,"Hubli, Mangaluru, Mysuru, Bengaluru, Belgaum",Data Analyst Job Summary: We are looking for an analytical and detail-oriented Data Ana...,"Data validation, Analytical, Postgresql, MySQL, Data Analyst, Business strategy, data visualization, Analytics",1 week ago
Data Analyst,SSD Shared Services,4-9 Yrs,,"Hubli, Mangaluru, Mysuru, Bengaluru, Belgaum","Experience working on data platform, analytics, or data warehousing programs. Strong da...","Data analysis, Agile scrum, Data Analyst, FMCG, microsoft, consumer goods, Data warehousing, Analytics",1 week ago
Job | Data Analyst/Part Time Supports.,Platinus Technologies Pvt Ltd,8-13 Yrs,,Nagpur,We are inviting Dynamic IT Consultants who are interested to work as a Part time freela...,"visualization, Stakeholder, KPI, data anaysis, Data analysis, Data, Data Visualization, Part",3 days ago
Job | Data Analyst/Part Time Supports.,Platinus Technologies Pvt Ltd,8-13 Yrs,,Bhubaneswar,We are inviting Dynamic IT Consultants who are interested to work as a Part time freela...,"visualization, Stakeholder, KPI, data anaysis, Data, Data analysis, Time, Part",3 days ago
Job | Data Analyst/Part Time Supports.,Platinus Technologies Pvt Ltd,8-13 Yrs,,Lucknow,We are inviting Dynamic IT Consultants who are interested to work as a Part time freela...,"visualization, Stakeholder, KPI, data anaysis, Data analysis, Data Visualization, Part time, Part",3 days ago
Job | Data Analyst/Part Time Supports.,Platinus Technologies Pvt Ltd,8-13 Yrs,,Kochi,We are inviting Dynamic IT Consultants who are interested to work as a Part time freela...,"visualization, Stakeholder, KPI, data anaysis, Data analysis, Data Visualization, Part time, Part",3 days ago
Job | Data Analyst/Part Time Supports.,Platinus Technologies Pvt Ltd,8-13 Yrs,,Coimbatore,We are inviting Dynamic IT Consultants who are interested to work as a Part time freela...,"visualization, Stakeholder, KPI, data anaysis, Data analysis, Data, Data Visualization, Part",3 days ago
Job | Data Analyst/Part Time Supports.,Platinus Technologies Pvt Ltd,8-13 Yrs,,Surat,We are inviting Dynamic IT Consultants who are interested to work as a Part time freela...,"visualization, Stakeholder, KPI, data anaysis, Data, Data analysis, Time, Part",3 days ago
Job | Data Analyst/Part Time Supports.,Platinus Technologies Pvt Ltd,8-13 Yrs,,Jaipur,We are inviting Dynamic IT Consultants who are interested to work as a Part time freela...,"visualization, Stakeholder, KPI, data anaysis, Data analysis, Data, Data Visualization, Part",3 days ago
Job | Data Analyst/Part Time Supports.,Platinus Technologies Pvt Ltd,8-13 Yrs,,Chandigarh,We are inviting Dynamic IT Consultants who are interested to work as a Part time freela...,"visualization, Stakeholder, KPI, data anaysis, Data analysis, Data Visualization, Part time, Part",3 days ago
Job | Data Analyst/Part Time Supports.,Platinus Technologies Pvt Ltd,8-13 Yrs,,Indore,We are inviting Dynamic IT Consultants who are interested to work as a Part time freela...,"visualization, Stakeholder, KPI, data anaysis, Data analysis, Data Visualization, Part time, Part",3 days ago
Job | Data Analyst/Part Time Supports.,Platinus Technologies Pvt Ltd,8-13 Yrs,,Ahmedabad,We are inviting Dynamic IT Consultants who are interested to work as a Part time freela...,"visualization, Stakeholder, KPI, data anaysis, Data analysis, Data Visualization, Part time, Part",3 days ago
Job | Data Analyst/Part Time Supports.,Platinus Technologies Pvt Ltd,8-13 Yrs,,Kolkata,We are inviting Dynamic IT Consultants who are interested to work as a Part time freela...,"visualization, Stakeholder, KPI, data anaysis, Data analysis, Data, Data Visualization, Part",3 days ago
Job | Data Analyst/Part Time Supports.,Platinus Technologies Pvt Ltd,8-13 Yrs,,Chennai,We are inviting Dynamic IT Consultants who are interested to work as a Part time freela...,"visualization, Stakeholder, KPI, data anaysis, Data, Data analysis, Time, Part",3 days ago
Job | Data Analyst/Part Time Supports.,Platinus Technologies Pvt Ltd,8-13 Yrs,,Hyderabad,We are inviting Dynamic IT Consultants who are interested to work as a Part time freela...,"visualization, Stakeholder, KPI, data anaysis, Data, Data analysis, Time, Part",3 days ago
Job | Data Analyst/Part Time Supports.,Platinus Technologies Pvt Ltd,8-13 Yrs,,Mumbai,We are inviting Dynamic IT Consultants who are interested to work as a Part time freela...,"visualization, Stakeholder, KPI, data anaysis, Data analysis, Data Visualization, Part time, Part",3 days ago
Job | Data Analyst/Part Time Supports.,Platinus Technologies Pvt Ltd,8-13 Yrs,,Gurugram,We are inviting Dynamic IT Consultants who are interested to work as a Part time freela...,"visualization, Stakeholder, KPI, data anaysis, Data analysis, Data, Data Visualization, Part",3 days ago
Job | Data Analyst/Part Time Supports.,Platinus Technologies Pvt Ltd,8-13 Yrs,,Faridabad,We are inviting Dynamic IT Consultants who are interested to work as a Part time freela...,"visualization, Stakeholder, KPI, data anaysis, Data, Data analysis, Time, Part",3 days ago
Job | Data Analyst/Part Time Supports.,Platinus Technologies Pvt Ltd,8-13 Yrs,,Noida,We are inviting Dynamic IT Consultants who are interested to work as a Part time freela...,"visualization, Stakeholder, KPI, data anaysis, Data, Data analysis, Time, Part",3 days ago
Job | Data Analyst/Part Time Supports.,Platinus Technologies Pvt Ltd,8-13 Yrs,,New Delhi,We are inviting Dynamic IT Consultants who are interested to work as a Part time freela...,"visualization, Stakeholder, KPI, data anaysis, Data analysis, Data Visualization, Part time, Part",3 days ago
Job | Data Analyst/Part Time Supports.,Platinus Technologies Pvt Ltd,8-13 Yrs,,Remote,We are inviting Dynamic IT Consultants who are interested to work as a Part time freela...,"visualization, Stakeholder, Data Analysis, Analysis, Data, Data Visualization, Part, Time",3 days ago
Data Analyst,Speraspect,4-6 Yrs,8-12 Lacs PA,Hybrid - Bengaluru,"The ideal candidate should have hands-on experience in creating interactive dashboards,...","Data Analysis, Tableau, SQL, Analysis, Data",1 week ago
Data Analyst,Careernet,5-8 Yrs,,Hybrid - Hyderabad,"Write and maintain data rules, validation checks, business logic, and quality threshold...","Data Management, MySQL, Data Analyst, Data Analytics, Data Governance, Data analysis, Governance, Analytics",3 weeks ago
Data Analyst with MDM,Clifyx Technology,0-5 Yrs,,Bengaluru,"Description: ""Key responsibilities: Requirement Elicitation and AnalysisNeed Strong wor...","Stakeholder Engagement, RFI, Data structures, software asset management, Business process mapping, Data Analyst, Windows, Vendor",3+ weeks ago
Data Analyst,Simply Vyapar Apps,0 Yrs,,Bengaluru,Ensure high-quality data management practices are followed throughout the project lifec...,"SQL, Tableau, Python, Data analysis, Data",2 weeks ago
Data Analyst,Irama Global Services,0-2 Yrs,,Uzbekistan,The role is ideal for fresh graduates or professionals with up to 2year of experience w...,"SAP, Data Analysis, Advanced Ms Excel, SQL, Excel, Microsoft, Analysis, Data",3 weeks ago
Data Analyst,Teplar Solutions,0-4 Yrs,,Coimbatore,"Eye for detail, ability to prioritize, and strong sense of urgency relative to deadline...","Analytical, Litigation, Workflow, Customer support, Business Development Executive, Client interaction, Data Analyst, MS Office",3+ weeks ago
Data Analyst,Augie,0-3 Yrs,,Bengaluru,Responsible for co-ordinating data with other teams with proper understanding of the da...,"Market analysis, Usage, Excel, Data collection, Database, Data Analyst, data visualization, Troubleshooting",3+ weeks ago
Data Analyst,RR Groups,0-1 Yrs,,Bengaluru,Role Overview: . We are seeking a highly motivated Fresher Data Analyst to join our gro...,"data analysis, modeling, documentation, bi, strong analytical skills, power bi, problem solving, dashboards",3+ weeks ago
Fresher - Data Analyst,Zyphra Tech Solutions,,Unpaid,Hyderabad,,,Starts in 1-3 months
Fresher - Data Analyst,Gravitix Tech Solutions,0-1 Yrs,,Visakhapatnam,Job Description - About the Role We are looking for a detail-oriented and analytical D...,"Computer science, Data analysis, Data validation, Data modeling, Analytical, data visualization, Business intelligence, Internship",3 weeks ago
Data Analyst,Grid Dynamics,0-3 Yrs,,Hyderabad,Deep understanding of metrics definition and data modeling   Experience enabling natura...,"Data modeling, Analytical, Corporate, Performance optimization, Data Analyst, Medical insurance, Analytics, SQL",3+ weeks ago
Data Analyst / Data Scientist / Consultant,Empower Recruitments,3-7 Yrs,12-18 Lacs PA,Mumbai (All Areas),"Analyze bond market activity market micro-structure, quant/ data scientist financial ad...","Data Analyst, Quantitative Analysis, DAta Scientist, Financial Markets, Bond Markets, Artificial Intelligence, Data engineering, LLM",1 day ago
Data Analyst Industrial IoT,Rhosigma Engineering & Automations,1-3 Yrs,,Thane,Data Analyst Industrial IoT . Salary Based On Experience . Job Type Full Time . Working...,"Computer science, Industrial automation, Data Analyst, Firmware, data visualization, Operations, Predictive analytics, SQL",4 days ago
Data Analyst,Ruby Seven Studios,5-10 Yrs,,Kochi,"Reporting & Dashboards Build and maintain dashboards for KPIs like DAU / MAU, retention...","KPI Dashboards, Data Visualization, storytelling, python, gaming, eda, ai, data analyst",1 week ago
Data Analyst,Surya Food  Agro Limited,6-10 Yrs,10-15 Lacs PA,"Noida, Jewar","SAP MM & FICO Module Knowledge (preferred, not mandatory)","Power Bi, VBA, Advanced Excel, Dashboards, Power Query, Power Pivot, Bi Tools, Data Analysis",1 week ago
Data Analyst,CGI,4-9 Yrs,8-16 Lacs PA,Hybrid - Hyderabad,Role & responsibilities  our future duties and responsibilities * Write advanced SQL an...,"Data Analytics, ETL, Python, Data, Analytics, Data analysis",2 weeks ago
Data Analyst,Pinkerton,2-5 Yrs,,Gurugram,"Bachelor s degree in Data Science, Statistics, Computer Science, or a related fieldWork...","python, data analysis, data analytics, analytical, insights, strong analytical skills, data integrity, dashboards",3 weeks ago
Data Analyst,the Sleep Company,2-3 Yrs,,Mumbai(Jogeshwari West),"About Us: As India's fastest-growing D2C brand, we are at the forefront of innovation ...","Data Analytics, SQL, Data Analysis, Analytics, Analysis, Data",3 weeks ago
Data Analyst,Winzo,5-10 Yrs,,New Delhi,We re looking for someone dynamic with below qualities in generous quantities to perfor...,"Team management, Senior management, MySQL, Conceptualization, Mentor, Data analytics, Data Analyst, Gaming",3+ weeks ago
Data Analyst,Winzo,10-15 Yrs,,New Delhi,Both of them are putting together WinZO piece by piece using tech and data to create a ...,"Team management, MySQL, Conceptualization, Mentor, Data analytics, Data Analyst, Gaming, Analytics",3+ weeks ago
Data Analyst,Aays Analytics,3-7 Yrs,,Gurugram,Essential Skills and Experience for Data Analyst Role . To succeed in this Data Analyst...,"Client solutions, SSRS, Consulting, Senior Data Analyst, Data analytics, SSIS, microsoft, SQL",3+ weeks ago
Data Analyst,Ascendion Engineering,2-7 Yrs,,Hybrid - Mumbai,"Skills: Strong analytical, problem-solving, and database management abilities. Communic...","Data Mining, Data Analytics, MS Office Suite, Cognos, Tableau, Data, Microsoft, Analytics",3+ weeks ago
Data Analyst,Skill Hive Hub,1-4 Yrs,,Hyderabad,. Internship or academic project experience in data analysis. This role is ideal for fr...,"Computer science, Data analysis, Data validation, Analytical, Data Analyst, Data analytics, Internship, Analytics",3+ weeks ago
Data Analyst,Leading Client,4-8 Yrs,,"Noida, Pune, Bengaluru",Analyse and interpret data across multiple systems supporting Dynamics 365 (Finance & O...,"Microsoft Dynamics 365, erp, crm systems, data analysis, data pipelines, issue resolution, data security, power bi",3 days ago
Data Analyst - Fabrics,Leading Client,4-8 Yrs,,"Noida, Pune, Bengaluru",This role will combine strong data migration expertise with hands-on experience in Azur...,"Azure, data analysis, data fabric, ai, power bi, microsoft dynamics, master data management, data analyst",3 days ago
Data Analyst,Cielo Talent,2-4 Yrs,12-13 Lacs PA,Hybrid - Bengaluru,Job Functions: . 2+ years of experience in Retail and Merchandising reporting Experienc...,"Retail Analysis, Power Bi, Advanced Excel, Tableau, Merchandise Planning, Python, SQL, Retail",1 week ago
Data Analyst,Client of Lafors into Pump industry,3-6 Yrs,9.5-11 Lacs PA,Chennai,"Responsible for collecting, analyzing & interpreting data to support business decisions...","Power Bi, Tableau, Data Analytics, Data Visualization, Dashboards, SQL, Data analysis, Analytics",2 weeks ago
Data Analyst,Reputed Client Company,5-10 Yrs,6-8 Lacs PA,Vadodara,"Bachelors degree in Business, Economics, Statistics, Computer Science, Information Syst...","Data Analyst, SQL, Python, Power Bi, Data Analysis, Data Visualization, Tableau, Data Analytics",1 week ago
HITL Data Analyst,Decisions,1-6 Yrs,,Hyderabad,Correct data entry or extraction errors using defined guidelines. . Validate that requi...,"Administration, Data analysis, Data validation, Manager Quality Assurance, Claims, Document review, Data quality, Operations",1 week ago
Data Analyst I - AMS,Nordson,2-5 Yrs,,Remote,"Bachelor s degree in Computer Science, Business Informatics, Mathematics or similar fie...","Computer science, Data analysis, Automation, Analytical, Predictive modeling, Troubleshooting, Data mining, Business intelligence",1 week ago
Data Analyst-Metrics & Computation team,Applied Research Works India,2-6 Yrs,,Hybrid - Kolkata,Required Skills: . Proficiency in SQL for querying and manipulating dataHands-on experi...,"SQL Queries, Automation, Analytical Ability, Healthcare Analytics, workflow, Problem Solving, Data Analysis, Data Visualization",1 week ago
Data Analyst,Big Boy Toyz.,1-2 Yrs,,Gurugram,"Qualifications: - Bachelors degree in Computer Science, Statistics, Mathematics, Econom...","Computer science, Data analysis, VLOOKUP, Data quality, data integrity, Data mining, CRM, SQL",1 week ago
Data Analyst,Lubi Electronics,1-6 Yrs,,Ahmedabad,BCA / MCA / B Sc IT / M Sc IT / B E / B Tech (Computer / IT) or any graduate with relev...,"ERP, Automation, Data analysis, SAP, PLSQL, Data quality, Stored procedures, SQL",1 week ago
Data Analyst - (Immediate Joiners preferred),Capita,1-5 Yrs,,"Hybrid - Pune, Mumbai (All Areas)",Shift Timings: 1pm - 10pm (UK Shift). Preferred candidate profile : .,"Power Bi, Advanced Excel, Machine Learning, Python, R, Data Visualization, Tableau, Data analysis",3+ weeks ago
Data Analyst,Inito,1-3 Yrs,,Bengaluru,"Analyze complex data sets to identify trends and patterns, providing insights to stake...","database maintenance, python, macros, data analysis, data analytics, data mining, predictive analytics, power bi",3 weeks ago
Data Analyst,Avinyatech Elevators Pvt. Ltd.,1-2 Yrs,3-4.5 Lacs PA,Thane,"Key Responsibilities: 1. Collect, verify, and consolidate data from various departments...","Big Data, Big Data Analytics, Data Visualization, Data Mining, Data Analytics, SQL, Data analysis, Analytics",4 days ago
Data Analyst,Alpha5 Ai,1-4 Yrs,,Remote,"Requirements . Proficiency in SQL, Excel, and visualization tools (e.g., Tableau, Power...","storytelling, tableau, data analysis, power bi, visualization tools, data analyst, sql, statistics",1 week ago
Data Analyst,Adroit Synergies,0-1 Yrs,2.5-3 Lacs PA,Gurugram,Data Analyst JD:- Location:- Gurugram • Salary – up to 25K CTC • Cab facility from IfCO...,"SQL, Power Bi, Data Analysis, Data Analyst, Advanced Excel, Analysis, Bi, Excel",3 days ago
DATA Analysts - MNC BULK HIRE-Complete WFH Available-MAX 35 LPA,Confidential Firm,7-12 Yrs,25-30 Lacs PA,Remote,Shift : 2PM to 11PM PF Mandatory Must Haves: ATLEAST 7+ YEARS OF EXPERIENCE,"AZURE, Power Bi, Data Analytics, SQL, Advanced Analytics, Microsoft Azure, Data analysis, Bulk",2 weeks ago
Data Analyst - MDM,Crescendo Global,4-6 Yrs,,Hybrid - Bengaluru,Requirement  Senior Analyst Shift Timings - 12.00pm to 9.30pm or 2.00 PM to 11.30 PMLo...,"Metadata Management, Reconciliation, Data Analytics, Master Data Management Operations, SQL, MDM, Master Data Management, Data",2 weeks ago
Data Analyst,The Art Of Living Human Resources,2-4 Yrs,,Bengaluru,Experience with data visualization tools and reporting software,"database maintenance, python, data analysis, data analytics, oracle, spotfire, problem solving, dashboards",3+ weeks ago
Data Analyst,SKP Knowledge Services,1-2 Yrs,,Erode,Analyze complex data sets to identify trends and patterns. Develop and maintain databa...,"database maintenance, data analysis, data analytics, pivot table, business analysis, problem solving, process improvement, vlookup",3 weeks ago
Data Analyst,Corporate Web Solutions,,Unpaid,Bengaluru,,,Starts in 1-3 months
Data Analysts,PRODAT,1-3 Yrs,,Bengaluru,Provide data guidance and support to staff. Disclaimer: This job description has been s...,"hlookup, macros, python, data analysis, data management, data analytics, data validation, data mining",3+ weeks ago
Data Analyst,Mudra Ooh,2-7 Yrs,,Bengaluru,Provide data-driven insights to support strategic planning and decision-making. Disclai...,"database maintenance, macros, data analysis, data analytics, data mining, business analysis, power bi, dashboards",3+ weeks ago
Data Analyst,Rockwell Automation,3-8 Yrs,,Pune,". Bachelors Degree in computer science, management information systems or related field...","Computer science, Automation, SAP, Production support, Hyperion, Agile, Analytics, SQL",3+ weeks ago
Data Analyst I,Philips,8-13 Yrs,,Bengaluru,"Minimum required Education: Bachelors / Masters Degree in Information Management, Infor...","Data analysis, Manager Quality Assurance, Data modeling, Healthcare, Data mining, Business intelligence, Continuous improvement, Operations",3+ weeks ago
Data Analyst,Eduport,0-1 Yrs,,Kozhikode,"The ideal candidate should be highly analytical, detail-oriented, and capable of transf...","Data analysis, Machine learning, Data processing, power bi, Predictive modeling, Data Analyst, Forecasting, SQL",3+ weeks ago
Data Analyst,Exly,0-4 Yrs,,Gurugram,"Qualifications: . Bachelors degree in Computer Science, Statistics, Mathematics, or a r...","Computer science, Data analysis, tableau, Postgresql, SAAS, Agile, Healthcare, Data quality",3+ weeks ago
Data Analyst,Magic Infomedia,0-2 Yrs,,New Delhi,"Job Types: Full-time, Permanent            View Job Description       We are seeking ...","Business Analyst, Data Analyst, Data analysis, Data, Business analysis",3+ weeks ago
Data Analyst,Relinns,,Unpaid,Mohali,,,Starts in 1-3 months
Data Analyst,Zero Gravity Photography,0-2 Yrs,,Chennai,"Location is Chennai Required Candidate Profile : 3+ Years Experience, Good Communicatio...","Data analysis, Business reporting, Data Analyst, Management, Reporting, Analysis, Data",3+ weeks ago
Data Analyst,Claight Corporation Expert Market Research,0-1 Yrs,,Noida,Claight Corporation (Expert Market Research) is looking for Data Analyst to join our dy...,"Data analysis, Data Analyst, Analysis, Data",3+ weeks ago
Data Analyst,Fireblaze Ai School,0-2 Yrs,,Ahmedabad,We are looking for a detail-oriented and analytical Data Analyst who is proficient in P...,"Performance tuning, Automation, Data analysis, Data modeling, Analytical, Machine learning, Macros, SQL",3+ weeks ago
Data Analyst,Eduport,0-1 Yrs,,Kozhikode,"The ideal candidate should be detail-oriented, analytical, and proactive in identifying...","Data analysis, Automation, Excel, Sales operations, Analytical, Data processing, data visualization, SQL",3+ weeks ago
Data Analyst,Mr Technical Veer Digital Services,0-3 Yrs,,Lalitpur,MR.TECHNICAL VEER DIGITAL SERVICES is looking for Data Analyst to join our dynamic team...,"Data Analyst, Data, Data analysis",3+ weeks ago
Data Analyst,Exly,0-3 Yrs,,Gurugram,". Bachelors degree in Computer Science, Statistics, Mathematics, or a related fieldMast...","Computer science, Data analysis, tableau, Postgresql, SAAS, Agile, Healthcare, Data quality",3+ weeks ago
Data Analyst,Kaleesuwari Refinery and Industry (KRIPL),0-3 Yrs,,"Madurai, Tiruppur, Salem, Chennai, Tiruchirapalli, Coimbatore","and data visualization tools (e.g., Tableau) is often required","Data Analyst, Data analysis, Data",3+ weeks ago
Data Analyst,Peroptyx,0-2 Yrs,,Remote,"As part of this role, you will verify that business names and opening hours are correc...","Protection system, Independent Contractor, Analytical, Social media, Antivirus, Data Analyst, Research, Evaluator",3+ weeks ago
Data Analyst,Diensten Tech,0-1 Yrs,,Gurugram,Diensten Tech Limited is looking for Data Analyst to join our dynamic team and embark o...,"Data Analyst, Data analysis, Data",3+ weeks ago
Data Analyst - German,Numerator,0-7 Yrs,,Vadodara,"While data entry experience is a plus, we will train candidates that have the right att...","Training, Retail, Usage, Database, German, Data Analyst, Research, Data entry",3+ weeks ago
Data Analysts / HTML Editor,Ace Software Exports,0-4 Yrs,,Rajkot,Diploma / Degree/Masters in IT related field. .,"Training, Adobe Acrobat, XML, Epub, HTML, Editor, Testing, Data analysis",3+ weeks ago
Data Analyst,Akal Information Systems,2-6 Yrs,,"Bengaluru, Delhi / NCR, Mumbai (All Areas)",Job Description Data AnalystPosition: Data AnalystExperience: 2-6 YearsLocation: Delhi...,"Data Analytics, Power Bi, Data Analysis, SQL, Analytics, Analysis, Data, Bi",2 weeks ago
Data Analyst,MS Guide World,4-9 Yrs,,Bengaluru,"Bachelor s or Master s degree in Data Science, Computer Science, Statistics, or a relat...","Solution design, Data analysis, Data modeling, Healthcare, Data analytics, Business intelligence, Project delivery, Python",3+ weeks ago
Data Analyst,Client of Talent Corner,2-4 Yrs,4-8 Lacs PA,Bengaluru,"Creating Daily, Weekly & Monthly performance reports for different business unitsRespon...","Power Bi, Data Analytics, Power Query, SQL, Python, Data, Analytics, Data analysis",3 weeks ago
Data Governance Innovation Analyst,Merck Sharp & Dohme (MSD),2-3 Yrs,,Hyderabad,"Bachelor s degree in Computer Science, Software Engineering, Data Science, or equivalen...","Computer science, metadata, Data management, Access management, GCP, Healthcare, Workflow, Data quality",1 week ago
Data Analyst,Aroha Technologies,0-3 Yrs,,Bengaluru,"Providing technical expertise in data storage structures, data mining, and data cleansi...","Data Analyst, Data analysis, Data",3+ weeks ago
TARIFF DATA ANALYST,Innover Digital,0-5 Yrs,,Bengaluru,"including preferred methods and measurements, processes, costs, supplier quality contro...","Supply chain, IT services, Trade, Management systems, Project management, Data Analyst, trade operations, Continuous improvement",3+ weeks ago
Data Analyst,CGI,5-8 Yrs,,Hybrid - Hyderabad,"Role & responsibilities . Bachelors degree in Data Science, Statistics, Computer Scienc...","Data Visualization, Data Analytics, Machine Learning, Python, SQL, Statistical Modeling, Data analysis, Modeling",3 weeks ago
Data Analyst,Kaba Group,2-5 Yrs,,New Delhi,Kaba Infratech Pvt Ltd is looking for Data Analyst to join our dynamic team and embark ...,"metadata, python, data analysis, data management, data analytics, data validation, configuration, data mining",3+ weeks ago
Data Analyst,Aeries Technology,3-8 Yrs,,Pune,"Aeries is Great Place to Work certified by GPTW Institute, reflecting our commitment to...","Automation, Business Analyst, Financial analysis, Project management, Analytical, Consulting, Continuous improvement, Stakeholder management",3+ weeks ago
Data & Record Governance Analyst,Barclays,1-8 Yrs,,Bengaluru,". To be a successful Data & Record Governance Analyst, you should have experience with:...","global operations, Loans, Data analysis, Data management, Data quality, Business strategy, Assistant Vice President, Operations",1 week ago
Data Analyst,Grant Thornton,2-4 Yrs,3-4 Lacs PA,Gandhinagar,Data Analyst1Education: Masters in public health; Postgraduate Statistic/Data Science ...,"Data Management, Data Analytics, Healthcare Data, Data, Management, Analytics, Data analysis, Healthcare",3 weeks ago
DATA - ANALYST,Justlead.in,1-4 Yrs,,Gurugram,"Strong analytical skills, leadership abilities, and industry knowledge are essential fo...","python, data analysis, data analytics, strong analytical skills, pivot table, business analysis, vlookup, machine learning",3+ weeks ago
DATA - ANALYST,Justlead.in,1-4 Yrs,,Chandigarh,"Strong analytical skills, leadership abilities, and industry knowledge are essential fo...","python, data analysis, data analytics, strong analytical skills, pivot table, business analysis, vlookup, machine learning",3+ weeks ago
DATA - ANALYST,Justlead.in,1-4 Yrs,,Noida,"Strong analytical skills, leadership abilities, and industry knowledge are essential fo...","python, data analysis, data analytics, strong analytical skills, pivot table, business analysis, vlookup, machine learning",3+ weeks ago
Data Analyst,Unity Small Finance Bank,2-5 Yrs,,Navi Mumbai,Data Analyst Product (Business Loans) Location: Navi Mumbai Experience: 2-5 years Func...,"Lending, Portfolio, Funnel Analysis, Data Analytics, Power Bi, Data Visualization, cohort, SQL",2 weeks ago
Data Analyst,Ruby Seven Studios,5-10 Yrs,,Kochi,"Reporting & Dashboards Build and maintain dashboards for KPIs like DAU / MAU, retention...","KPI Dashboards, Data Visualization, storytelling, python, gaming, eda, ai, data analyst",1 week ago
Generative AI Data Analysts - Manipuri,Welo Data,3-8 Yrs,,Remote,Duration : Ongoing. Employment Type : Full time employee. Experience working from struc...,"QA, Computer vision, Usage, Networking, Artificial Intelligence, Focus, Quality Review, Signalling",1 week ago
Generative AI Data Analysts - Maithili,Welo Data,3-8 Yrs,,Remote,Duration : Ongoing. Employment Type : Full time employee. Experience working from struc...,"QA, Computer vision, Usage, Networking, Artificial Intelligence, Focus, Quality Review, Signalling",1 week ago
Generative AI Data Analysts - Sanskrit,Welo Data,3-8 Yrs,,Remote,Duration : Ongoing. Employment Type : Full time employee. Experience working from struc...,"QA, Computer vision, Usage, Networking, Artificial Intelligence, Focus, Quality Review, Signalling",1 week ago
Generative AI Data Analysts - Konkani,Welo Data,3-8 Yrs,,Remote,Duration : Ongoing. Employment Type : Full time employee. Experience working from struc...,"QA, Computer vision, Usage, Networking, Artificial Intelligence, Focus, Quality Review, Signalling",1 week ago
Generative AI Data Analysts - Santali,Welo Data,3-8 Yrs,,Remote,Duration : Ongoing. Employment Type : Full time employee. Experience working from struc...,"QA, Computer vision, Usage, Networking, Artificial Intelligence, Focus, Quality Review, Signalling",1 week ago
Generative AI Data Analysts - Sindhi,Welo Data,3-8 Yrs,,Remote,Duration : Ongoing. Employment Type : Full time employee. Experience working from struc...,"QA, Computer vision, Usage, Networking, Artificial Intelligence, Focus, Quality Review, Signalling",1 week ago
