title,company,experience,salary,location,description,skills,posted
Data Analyst,MNC,0-2 Yrs,2-5 Lacs PA,"Pimpri-Chinchwad, Pune",. Freshers with relevant internships / projects can applyRequired Skills: . SQL (mandat...,"Power Bi, MS Office, SQL, Google Suite, Data Analytics, Large Databases, Google Data Studio, Data Management",3 weeks ago
Data Analyst,Leaf Round,1-2 Yrs,,Bengaluru,"1 to 2 years of experience in Data Analytics, Business Analytics, or a similar roleExpe...","data analyst, pandas, analytics, data analytics, automation, business analytics, google sheets, capital markets",5 days ago
Data Analyst,LiveLike,,Unpaid,Gurugram,,,Starts in 1-3 months
Data Analyst,MNC Group,0-1 Yrs,6-7 Lacs PA,Gurugram,Preferred candidate profile Official communications will only come from @persolkelly.co...,"Artificial Intelligence, Advanced Excel, VBA, Macros, Python, Data analysis, Excel, Data",1 day ago
Data Analyst,Raam4Wheelers LLP,1-4 Yrs,3-3.75 Lacs PA,Hyderabad(Banjara hills +1),Preferred candidate profile . Strong analytical and problem-solving skillsGood attentio...,"Google Sheets, Excel, Google Forms, Data Analysis, Data Analytics, Excel Sheet, Data, Google",1 day ago
Data Analyst,Sunshine Pediatric And Family Clinic Private,1-2 Yrs,2.25-3.5 Lacs PA,Remote,Required Skills. Strong analytical and problem-solving skills. . Advanced Microsoft Exc...,"Data Analytics, Communication Skills, Power BI, Data Analysis, Data Visualization, US Healthcare, Analysis, Analytics",1 day ago
Data Analyst,3i Infotech,2-3 Yrs,4.5-5 Lacs PA,Mumbai(Lower Parel),Responsibilities:Collaborate with cross-functional teams on project deliverablesAnalyze...,"SQL, Query Writing, Data Analysis, Data Visualization, Data Extraction, Data Cleansing, Advance SQL, ETL",2 days ago
Data Analyst,bp,3-6 Yrs,12-15 Lacs PA,Hybrid - Pune,Shift Timings - 12:30 PM 9 PM ISTBachelor s degree or equivalent experience or equivale...,"Power Bi, Data Visualization, Data Analytics, SQL, Python, Sql Joins, Dashboards, Data analysis",1 week ago
"Data Analyst(Alteryx, Tableau Mandatory)",Vipany Management Consulting,2-4 Yrs,9-11 Lacs PA,Hybrid - Hyderabad,". Bachelors Degree or Associate s Degree in Business, Analytics, or a related disciplin...","Alteryx, Tableau, SQL, Data Analysis, Data Visualization, Data Analytics, Data Reporting, Analytics",3 days ago
Data Analyst,ti Steps,0-1 Yrs,3.5-6.5 Lacs PA,"Hyderabad, Chennai, Bengaluru",The ideal candidate should have strong technical expertise across the entire developmen...,"Data Management, Data Analysis, Data Cleansing, Data Reporting, Power Bi, Data Visualization, Tableau, Data Analytics",1 week ago
Data Analyst (Female),Leading Client,0-2 Yrs,,Hazaribagh,Strong analytical and problem-solving skills are required,"Data Analysis, python, business data, business insights, power bi, google sheets, data analyst, sql",2 days ago
AI and Data-Fraud Data Analyst-VG-W6-ES and F0121,EY,5-10 Yrs,,Hyderabad,EWT will also support our internal technology needs by focusing on a better user experi...,"Data Analyst, S3, Matplotlib, Coaching, Architecture, Power Bi, Feature Engineering, Ai",1 week ago
Data Analyst,Cielo Talent,2-4 Yrs,,Hybrid - Bengaluru,2+ years of experience in Retail and Merchandising reporting Experience working with AI...,"Power BI, Data Analysis, Advanced Excel, SQL, Python, Retail Analytics, Tableau, Data Analytics",1 day ago
Data Analyst,Tata Technologies,3-8 Yrs,,Pune,"Minimum Requirements: . Bachelors degree in supply chain management, Data Science, Busi...","data analyst, snowflake, data analysis, power bi, regulatory compliance, sales, marketing, tableau",1 day ago
